id,fact
1,"Gujarat is the home state of Mahatma Gandhi, the leader of India's freedom movement."
2,"The Statue of Unity in Gujarat is the world's tallest statue, standing at 182 meters."
3,The Gir Forest National Park in Gujarat is the only natural habitat of the Asiatic lion.
4,The White Rann of Kutch is one of the world's largest salt deserts and hosts the famous Rann Utsav festival.
5,"Lothal, an ancient city of the Indus Valley Civilization, is located in Gujarat and is known for its dockyard."
6,"Gujarat has the longest coastline of any Indian state, stretching for about 1,600 kilometers."
7,Dwarka in Gujarat is one of the four sacred Char Dham pilgrimage sites of Hinduism.
8,The Somnath Temple in Gujarat is one of the twelve Jyotirlingas dedicated to Lord Shiva.
9,Ahmedabad became India's first UNESCO World Heritage City in 2017.
10,Navratri celebrations in Gujarat are famous worldwide for traditional Garba and Dandiya dances.
11,Gandhinagar is capital of gujarat and is known for its well-planned architecture and the Akshardham Temple.
